date,daily_open,daily_close,intraday_atr,atr_ma5,atr_ma10,atr_ma20
2025-08-01,306.28,302.61,3.669999999999959,3.669999999999959,3.669999999999959,3.669999999999959
2025-08-04,309.08,309.2999,0.21989999999999554,1.9449499999999773,1.9449499999999773,1.9449499999999773
2025-08-05,308.98,308.68,0.30000000000001137,1.396633333333322,1.396633333333322,1.396633333333322
2025-08-06,307.87,319.96,12.089999999999975,4.069974999999985,4.069974999999985,4.069974999999985
2025-08-07,319.79,322.29,2.5,3.755979999999988,3.755979999999988,3.755979999999988
2025-08-08,321.45,329.6764,8.226400000000012,4.667259999999999,4.501049999999992,4.501049999999992
2025-08-11,335.03,339.127,4.097000000000037,5.442680000000007,4.44332857142857,4.44332857142857
2025-08-12,345.19,340.71,4.480000000000018,6.2786800000000085,4.447912500000001,4.447912500000001
2025-08-13,341.5,339.34,2.160000000000025,4.2926800000000185,4.193700000000003,4.193700000000003
2025-08-14,335.59,335.5701,0.01989999999995007,3.7966600000000086,3.7763199999999983,3.7763199999999983
2025-08-15,337.655,330.6,7.05499999999995,3.562379999999996,4.114819999999997,4.074381818181812
2025-08-18,329.62,335.15,5.529999999999973,3.848979999999983,4.645829999999995,4.195683333333325
2025-08-19,335.74,329.32,6.420000000000016,4.236979999999983,5.257829999999996,4.366784615384609
2025-08-20,329.21,323.915,5.294999999999959,4.8639799999999696,4.578329999999994,4.433085714285705
2025-08-21,322.07,320.04,2.0299999999999727,5.265999999999974,4.531329999999992,4.27287999999999
2025-08-22,321.66,340.01,18.349999999999966,7.524999999999977,5.5436899999999865,5.152699999999989
2025-08-25,338.9,346.58,7.680000000000007,7.954999999999984,5.901989999999984,5.301364705882342
2025-08-26,344.94,351.68,6.740000000000009,8.018999999999982,6.127989999999983,5.3812888888888795
2025-08-27,351.94,349.48,2.4599999999999795,7.451999999999987,6.1579899999999785,5.227536842105254
2025-08-28,350.91,345.9,5.010000000000048,8.048000000000002,6.656999999999988,5.216659999999993
2025-08-29,347.23,334.0,13.230000000000018,7.0240000000000125,7.274499999999994,5.694659999999996
