timestamp,last_price,bid,ask,spread,bid_size,ask_size,trade_size
2025-10-02 11:19:32.759749-04:00,453.78,453.71,453.93,0.22000000000002728,2.0,1.0,100.0
2025-10-02 11:19:33.951621-04:00,453.68,453.68,453.93,0.25,1.0,1.0,133.0
2025-10-02 11:19:35.150514-04:00,453.68,453.68,453.93,0.25,1.0,1.0,133.0
2025-10-02 11:19:36.340186-04:00,453.68,453.71,453.93,0.22000000000002728,1.0,1.0,133.0
2025-10-02 11:19:37.535995-04:00,453.68,453.75,453.93,0.18000000000000682,1.0,1.0,133.0
2025-10-02 11:19:38.729679-04:00,453.68,453.86,455.6,1.740000000000009,1.0,1.0,133.0
2025-10-02 11:19:39.918586-04:00,453.68,453.92,454.0,0.07999999999998408,1.0,1.0,133.0
2025-10-02 11:19:41.123883-04:00,453.92,451.77,454.0,2.230000000000018,1.0,1.0,146.0
2025-10-02 11:19:42.314987-04:00,453.92,451.77,454.0,2.230000000000018,1.0,1.0,146.0
2025-10-02 11:19:43.517060-04:00,453.92,451.77,454.0,2.230000000000018,1.0,1.0,146.0
